keyword,keyword2,image,date,event
dismembered,Jack the Ripper,,1888,A serial killer murdered five prostitutes in total and sent half of a kidney from the victim to the Whitechapel Vigilance Committee to threaten the public but the criminal was never found.
corpse mania,corpse stealing,images/stealing.jpg,1931,Carl Tanzler stole the corpse of Hoyos the woman he was in love with and stored it at home.
corpse mania,sex tool,,1970s,Dennis Nilsen lured men at bar and killed them. He would bathe and dress the bodies.
corpse mania,red dress,images/red.jpg,1988,Gao raped and killed 11 women in total. He only targeted young women dressed in red.
corpse mania,sex tool,,1957,A young boy was found dead in a box in the woods. He was beaten to death by a woman who treated him as a sex toy and eventually beated him to death.
corpse mania,sex tool,,1978,Jeffrey Dahmer raped and murdered 17 men and boys. He cut the flesh off the bones and kept some of the body parts in his refrigerator for sexual purposes at his leisure.
cipher riddle,cipher,images/cipher.jpg,1983,A cryptic riddle found in the plastic bad near Franscisco Patino Gutierrez's corpse in Florida.
cipher riddle,mysterious polaroid photo,images/polaroid.jpg,1989,A year after a young woman went missing. A polaroid photo of her being abducted was found in the parking lot of a convenience store in Florida.
filming and livestreaming,,,2001,10 Americans were decapitated by Islamic terrorists and having the video posted on the internet
filming and livestreaming,,,2017,Marinna Rollins tortured and shot her therapy dog and filmed the process.
filming and livestreaming,threat letter,,1960s,A series of letters were sent to California newspapers confessing to 37 murders and threatened that the murder would go on if the letters were not published.
inferiority complex,,,1966,A black man murdered three women during the house robbery in Japan becasue he thought the way they looked at him made him feel uncomfortable.
inferiority complex,,,2010,Shijie Zeng killed one of his classmates for assaulting his appearance.
buried ,buried alive,images/buryalive.jpg,1992,Sherrill Levitt Suzie Streeter and Stacy McCall' mysteriously vanished from home. Investigators received a tip claiming the women were buried under the foundations of a local hospital parking lot but digging up the concrete was not justified.
buried ,buried alive,,1980s,Herb Baumeister lured 10 to 20 gay men to his pool house. He strangled and dumped them in his backyard.
buried ,snow,images/snow.jpg,1959,Bodies of nine students were found buried in the snow but some of the bodies are unharmed. No criminal was identified.
family,murderous father,images/family.jpg,1971,John List murdered his wife three kids and mom. He lied to people that they were going out of town in order to cover his murder.
family,murderous lover,images/killinglover.jpg,1884,Belle Gunness killed most of her boyfriends two husbands and both of her daughters and feed them to her pigs.
family,murderous lover,,2007,Peterson murdered all of his four wives.
family,murderous father,,1979,All four children of the Tan family were murdered in their apartment in Singapore and their bodies were mutilated and stacked on top of each other inside the bathroom.
family,yoga ball,images/yogaball.jpg,2015,Kaw Kim Sun killed his wife and daughter by placing a leaking yoga ball in his wife's car. The poisnous gas in the ball led to their death.
family,brutal retaliation,,2017,Christopher Tucker killed a 19-year-old woman after she refused his marriage proposal.
family,brutal retaliation,,1993,Lorena Bobbitt's penis was cut off by his wife in retaliation for years of sexual abuse.
H2SO4,acid bath,,1940s,John George burned victims in sulphuric acid.
H2SO4,acid bath,images/acidbath.gif,1940s,John George Haigh murdered six people in total and dissolved the victims in acid because he thought he would avoid being caught if there was no bodies.
axeman,axe,images/axe.jpg,1978,A man raped the girl cut off her forearms with a hatchet and tossed her over a cliff and left her to die in the desert.
axeman,axe,,1918,"A series murders occucered and killed by the axes. Police received a note saying that if people played jazz music loudly, their lives would be spared."
axeman,axe,,1922,A family of six was murdered and their heads were split by axe. Their bodies were being stacked in a small farm.
supernatural,train track,images/traintrack.gif,1987,A train conductor run over two men that were tied to the tracks because he was unable to stop. However the security camera later revealed that there wasn't no men on the tracks when the incident happened.
supernatural,rebirth,,1956,Barbara Grimes and Patricia Grimes were found dead by the side of a road in the middle of nowhere but during the investigation many witnesses claimed that they've seen the sisters after the day they died.
